Season,Date,Time,Status,Team1,Score1,Team2,Score2,Venue,Match-Results
Season 6,"Friday, 12 October",20:00 (IST),Match 11 - Completed ,Haryana Steelers,32,Gujarat Fortunegiants,25,"Motilal Nehru School of Sports, Rai, Sonepat",Haryana Steelers beat Gujarat Fortunegiants (32-25)
Season 6,"Friday, 12 October",21:00 (IST),Match 12 - Completed ,Puneri Paltan,36,Dabang Delhi K.C.,41,"Motilal Nehru School of Sports, Rai, Sonepat",Dabang Delhi K.C. beat Puneri Paltan (41-37)
Season 6,"Saturday, 13 October",20:00 (IST),Match 13 - Completed ,Telugu Titans,34,U.P. Yoddha,29,"Motilal Nehru School of Sports, Rai, Sonepat",Telugu Titans beat U.P. Yoddha (34-29)
Season 6,"Saturday, 13 October",21:00 (IST),Match 14 - Completed ,Haryana Steelers,26,U Mumba,53,"Motilal Nehru School of Sports, Rai, Sonepat",U Mumba beat Haryana Steelers (53-26)
Season 6,"Sunday, 14 October",20:00 (IST),Match 15 - Completed ,Patna Pirates,43,U.P. Yoddha,37,"Motilal Nehru School of Sports, Rai, Sonepat",Patna Pirates beat U.P. Yoddha (43-37)
Season 6,"Sunday, 14 October",21:00 (IST),Match 16 - Completed ,Haryana Steelers,27,Puneri Paltan,45,"Motilal Nehru School of Sports, Rai, Sonepat",Puneri Paltan beat Haryana Steelers (45-27)
Season 6,"Tuesday, 16 October",20:00 (IST),Match 17 - Completed ,Bengal Warriors,30,Telugu Titans,25,"Motilal Nehru School of Sports, Rai, Sonepat",Bengal Warriors beat Telugu Titans (30-25)
Season 6,"Tuesday, 16 October",21:00 (IST),Match 18 - Completed ,Haryana Steelers,33,Jaipur Pink Panthers,36,"Motilal Nehru School of Sports, Rai, Sonepat",Jaipur Pink Panthers beat Haryana Steelers (36-33)
Season 6,"Wednesday, 17 October",20:00 (IST),Match 19 - Completed ,Bengaluru Bulls,44,Tamil Thalaivas,35,"Motilal Nehru School of Sports, Rai, Sonepat",Bengaluru Bulls beat Tamil Thalaivas (44-35)
Season 6,"Wednesday, 17 October",21:00 (IST),Match 20 - Completed ,Haryana Steelers,32,U Mumba,42,"Motilal Nehru School of Sports, Rai, Sonepat",U Mumba beat Haryana Steelers (42-32)
Season 6,"Thursday, 18 October",20:00 (IST),Match 21 - Completed ,Haryana Steelers,34,Dabang Delhi K.C.,31,"Motilal Nehru School of Sports, Rai, Sonepat",Haryana Steelers beat Dabang Delhi K.C. (34-31)
Season 6,"Thursday, 18 October",21:00 (IST),Match 22 - Completed ,Puneri Paltan,28,Gujarat Fortunegiants,34,"Shree Shiv Chhatrapati Sports Complex, Pune",Gujarat Fortunegiants beat Puneri Paltan (34-28)
Season 6,"Friday, 19 October",20:00 (IST),Match 23 - Completed ,Patna Pirates,31,Telugu Titans,35,"Shree Shiv Chhatrapati Sports Complex, Pune",Telugu Titans beat Patna Pirates (35-31)
Season 6,"Friday, 19 October",21:00 (IST),Match 24 - Completed ,Puneri Paltan,29,Jaipur Pink Panthers,25,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Jaipur Pink Panthers (29-25)
Season 6,"Saturday, 20 October",20:00 (IST),Match 25 - Completed ,U.P. Yoddha,40,Bengal Warriors,40,"Shree Shiv Chhatrapati Sports Complex, Pune",Match Tied
Season 6,"Saturday, 20 October",21:00 (IST),Match 26 - Completed ,Puneri Paltan,33,U Mumba,32,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat U Mumba (33-32)
Season 6,"Sunday, 21 October",20:00 (IST),Match 27 - Completed ,Dabang Delhi K.C.,39,Bengal Warriors,30,"Shree Shiv Chhatrapati Sports Complex, Pune",Dabang Delhi K.C. beat Bengal Warriors (39-30)
Season 6,"Sunday, 21 October",21:00 (IST),Match 28 - Completed ,Puneri Paltan,27,Bengaluru Bulls,25,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Bengaluru Bulls (27-25)
Season 6,"Tuesday, 23 October",20:00 (IST),Match 29 - Completed ,U Mumba,41,Telugu Titans,20,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba beat Telugu Titans (41-20)
Season 6,"Tuesday, 23 October",21:00 (IST),Match 30 - Completed ,Puneri Paltan,31,Tamil Thalaivas,36,"Shree Shiv Chhatrapati Sports Complex, Pune",Tamil Thalaivas beat Puneri Paltan (36-31)
Season 6,"Wednesday, 24 October",20:00 (IST),Match 31 - Completed ,Bengaluru Bulls,42,Haryana Steelers,34,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat Haryana Steelers (42-34)
Season 6,"Wednesday, 24 October",21:00 (IST),Match 32 - Completed ,Puneri Paltan,23,U.P. Yoddha,29,"Shree Shiv Chhatrapati Sports Complex, Pune",U.P. Yoddha beat Puneri Paltan (29-23)
Season 6,"Friday, 26 October",20:00 (IST),Match 33 - Completed ,Patna Pirates,41,Jaipur Pink Panthers,30,"Patliputra Sports Complex, Patna",Patna Pirates beat Jaipur Pink Panthers (41-30)
Season 6,"Friday, 26 October",21:00 (IST),Match 34 - Completed ,Gujarat Fortunegiants,36,Tamil Thalaivas,25,"Patliputra Sports Complex, Patna",Gujarat Fortunegiants beat Tamil Thalaivas (36-25)
Season 6,"Saturday, 27 October",20:00 (IST),Match 35 - Completed ,Jaipur Pink Panthers,28,Bengal Warriors,39,"Patliputra Sports Complex, Patna",Bengal Warriors beat Jaipur Pink Panthers (39-28)
Season 6,"Saturday, 27 October",21:00 (IST),Match 36 - Completed ,Patna Pirates,39,U Mumba,40,"Patliputra Sports Complex, Patna",U Mumba beat Patna Pirates (40-39)
Season 6,"Sunday, 28 October",20:00 (IST),Match 37 - Completed ,Dabang Delhi K.C.,36,U.P. Yoddha,38,"Patliputra Sports Complex, Patna",U.P. Yoddha beat Dabang Delhi K.C. (38-36)
Season 6,"Sunday, 28 October",21:00 (IST),Match 38 - Completed ,Patna Pirates,32,Haryana Steelers,43,"Patliputra Sports Complex, Patna",Haryana Steelers beat Patna Pirates (43-32)
Season 6,"Tuesday, 30 October",20:00 (IST),Match 39 - Completed ,Puneri Paltan,27,Gujarat Fortunegiants,37,"Patliputra Sports Complex, Patna",Gujarat Fortunegiants beat Puneri Paltan (37-27)
Season 6,"Tuesday, 30 October",21:00 (IST),Match 40 - Completed ,Patna Pirates,32,Telugu Titans,53,"Patliputra Sports Complex, Patna",Telugu Titans beat Patna Pirates (53-32)
Season 6,"Wednesday, 31 October",20:00 (IST),Match 41 - Completed ,Dabang Delhi K.C.,27,Puneri Paltan,31,"Patliputra Sports Complex, Patna",Puneri Paltan beat Dabang Delhi K.C. (31-27)
Season 6,"Wednesday, 31 October",21:00 (IST),Match 42 - Completed ,Patna Pirates,41,Bengaluru Bulls,43,"Patliputra Sports Complex, Patna",Bengaluru Bulls beat Patna Pirates (43-41)
Season 6,"Thursday, 01 November",20:00 (IST),Match 43 - Completed ,Patna Pirates,29,Bengal Warriors,27,"Patliputra Sports Complex, Patna",Patna Pirates beat Bengal Warriors (29-27)
Season 6,"Friday, 02 November",20:00 (IST),Match 44 - Completed ,U.P. Yoddha,24,Tamil Thalaivas,46,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Tamil Thalaivas beat U.P. Yoddha (46-24)
Season 6,"Friday, 02 November",21:00 (IST),Match 45 - Completed ,Jaipur Pink Panthers,25,Gujarat Fortunegiants,36,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Gujarat Fortunegiants beat Jaipur Pink Panthers (36-25)
Season 6,"Saturday, 03 November",20:00 (IST),Match 46 - Completed ,U Mumba,31,Puneri Paltan,22,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",U Mumba beat Puneri Paltan (31-22)
Season 6,"Saturday, 03 November",21:00 (IST),Match 47 - Completed ,U.P. Yoddha,29,Bengaluru Bulls,35,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Bengaluru Bulls beat U.P. Yoddha (35-29)
Season 6,"Sunday, 04 November",20:00 (IST),Match 48 - Completed ,Dabang Delhi K.C.,38,Gujarat Fortunegiants,45,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Gujarat Fortunegiants beat Dabang Delhi K.C. (45-38)
Season 6,"Sunday, 04 November",21:00 (IST),Match 49 - Completed ,U.P. Yoddha,30,Bengal Warriors,30,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Match Tied
Season 6,"Tuesday, 06 November",20:00 (IST),Match 50 - Completed ,Jaipur Pink Panthers,38,Haryana Steelers,32,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Jaipur Pink Panthers beat Haryana Steelers (38-32)
Season 6,"Tuesday, 06 November",21:00 (IST),Match 51 - Completed ,U.P. Yoddha,26,Telugu Titans,26,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Match Tied
Season 6,"Thursday, 08 November",20:00 (IST),Match 52 - Completed ,Haryana Steelers,33,Dabang Delhi K.C.,39,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Dabang Delhi K.C. beat Haryana Steelers (39-33)
Season 6,"Thursday, 08 November",21:00 (IST),Match 53 - Completed ,U.P. Yoddha,27,Bengaluru Bulls,37,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",Bengaluru Bulls beat U.P. Yoddha (37-27)
Season 6,"Friday, 09 November",20:00 (IST),Match 54 - Completed ,U Mumba,48,Jaipur Pink Panthers,24,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Jaipur Pink Panthers (48-24)
Season 6,"Friday, 09 November",21:00 (IST),Match 55 - Completed ,Bengal Warriors,30,Telugu Titans,25,"DOME@NSCI SVP Stadium, Mumbai",Bengal Warriors beat Telugu Titans (30-25)
Season 6,"Saturday, 10 November",20:00 (IST),Match 56 - Completed ,Patna Pirates,50,Bengal Warriors,30,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Bengal Warriors (50-30)
Season 6,"Saturday, 10 November",21:00 (IST),Match 57 - Completed ,U Mumba,36,Gujarat Fortunegiants,38,"DOME@NSCI SVP Stadium, Mumbai",Gujarat Fortunegiants beat U Mumba (38-36)
Season 6,"Sunday, 11 November",20:00 (IST),Match 58 - Completed ,Jaipur Pink Panthers,29,Dabang Delhi K.C.,40,"DOME@NSCI SVP Stadium, Mumbai",Dabang Delhi K.C. beat Jaipur Pink Panthers (40-29)
Season 6,"Sunday, 11 November",21:00 (IST),Match 59 - Completed ,U Mumba,31,Haryana Steelers,35,"DOME@NSCI SVP Stadium, Mumbai",Haryana Steelers beat U Mumba (35-31)
Season 6,"Tuesday, 13 November",20:00 (IST),Match 60 - Completed ,Puneri Paltan,25,Telugu Titans,28,"DOME@NSCI SVP Stadium, Mumbai",Telugu Titans beat Puneri Paltan (28-25)
Season 6,"Tuesday, 13 November",21:00 (IST),Match 61 - Completed ,U Mumba,41,U.P. Yoddha,24,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat U.P. Yoddha (41-24)
Season 6,"Wednesday, 14 November",20:00 (IST),Match 62 - Completed ,Tamil Thalaivas,32,Haryana Steelers,32,"DOME@NSCI SVP Stadium, Mumbai",Match Tied
Season 6,"Wednesday, 14 November",21:00 (IST),Match 63 - Completed ,U Mumba,32,Bengaluru Bulls,29,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Bengaluru Bulls (32-29)
Season 6,"Thursday, 15 November",20:00 (IST),Match 64 - Completed ,Patna Pirates,38,Dabang Delhi K.C.,35,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Dabang Delhi K.C. (38-35)
Season 6,"Thursday, 15 November",21:00 (IST),Match 65 - Completed ,U Mumba,36,Tamil Thalaivas,22,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Tamil Thalaivas (36-22)
Season 6,"Friday, 16 November",20:00 (IST),Match 66 - Completed ,Gujarat Fortunegiants,35,Bengal Warriors,23,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat Bengal Warriors (35-23)
Season 6,"Friday, 16 November",21:00 (IST),Match 67 - Completed ,Jaipur Pink Panthers,45,U.P. Yoddha,28,"The Arena by Transstadia, Ahmedabad",Jaipur Pink Panthers beat U.P. Yoddha (45-28)
Season 6,"Saturday, 17 November",20:00 (IST),Match 68 - Completed ,Puneri Paltan,22,Bengal Warriors,26,"The Arena by Transstadia, Ahmedabad",Bengal Warriors beat Puneri Paltan (26-22)
Season 6,"Saturday, 17 November",21:00 (IST),Match 69 - Completed ,Gujarat Fortunegiants,30,Bengaluru Bulls,30,"The Arena by Transstadia, Ahmedabad",Match Tied
Season 6,"Sunday, 18 November",20:00 (IST),Match 70 - Completed ,Jaipur Pink Panthers,32,Bengaluru Bulls,45,"The Arena by Transstadia, Ahmedabad",Bengaluru Bulls beat Jaipur Pink Panthers (45-32)
Season 6,"Sunday, 18 November",21:00 (IST),Match 71 - Completed ,Gujarat Fortunegiants,37,U.P. Yoddha,32,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat U.P. Yoddha (37-32)
Season 6,"Tuesday, 20 November",20:00 (IST),Match 72 - Completed ,Tamil Thalaivas,27,Telugu Titans,23,"The Arena by Transstadia, Ahmedabad",Tamil Thalaivas beat Telugu Titans (27-23)
Season 6,"Tuesday, 20 November",21:00 (IST),Match 73 - Completed ,Gujarat Fortunegiants,26,Dabang Delhi K.C.,29,"The Arena by Transstadia, Ahmedabad",Dabang Delhi K.C. beat Gujarat Fortunegiants (29-26)
Season 6,"Wednesday, 21 November",20:00 (IST),Match 74 - Completed ,Patna Pirates,45,Tamil Thalaivas,27,"The Arena by Transstadia, Ahmedabad",Patna Pirates beat Tamil Thalaivas (45-27)
Season 6,"Wednesday, 21 November",21:00 (IST),Match 75 - Completed ,Gujarat Fortunegiants,39,U Mumba,35,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat U Mumba (39-35)
Season 6,"Thursday, 22 November",20:00 (IST),Match 76 - Completed ,Gujarat Fortunegiants,40,Haryana Steelers,31,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants beat Haryana Steelers (40-31)
Season 6,"Friday, 23 November",20:00 (IST),Match 77 - Completed ,Bengaluru Bulls,31,Bengal Warriors,33,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengal Warriors beat Bengaluru Bulls (33-31)
Season 6,"Friday, 23 November",21:00 (IST),Match 78 - Completed ,Jaipur Pink Panthers,30,Puneri Paltan,30,"Shree Shiv Chhatrapati Sports Complex, Pune",Match Tied
Season 6,"Saturday, 24 November",20:00 (IST),Match 79 - Completed ,U Mumba,39,Dabang Delhi K.C.,23,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba beat Dabang Delhi K.C. (39-23)
Season 6,"Saturday, 24 November",21:00 (IST),Match 80 - Completed ,Bengaluru Bulls,36,Tamil Thalaivas,22,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat Tamil Thalaivas (36-22)
Season 6,"Sunday, 25 November",20:00 (IST),Match 81 - Completed ,Dabang Delhi K.C.,27,Haryana Steelers,34,"Shree Shiv Chhatrapati Sports Complex, Pune",Haryana Steelers beat Dabang Delhi K.C. (34-27)
Season 6,"Sunday, 25 November",21:00 (IST),Match 82 - Completed ,Bengaluru Bulls,32,Patna Pirates,35,"Shree Shiv Chhatrapati Sports Complex, Pune",Patna Pirates beat Bengaluru Bulls (35-32)
Season 6,"Monday, 26 November",20:00 (IST),Match 83 - Completed ,Tamil Thalaivas,31,Telugu Titans,25,"Shree Shiv Chhatrapati Sports Complex, Pune",Tamil Thalaivas beat Telugu Titans (31-25)
Season 6,"Monday, 26 November",21:00 (IST),Match 84 - Completed ,Bengaluru Bulls,37,U.P. Yoddha,27,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat U.P. Yoddha (37-27)
Season 6,"Wednesday, 28 November",20:00 (IST),Match 85 - Completed ,Haryana Steelers,33,Puneri Paltan,35,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Haryana Steelers (35-33)
Season 6,"Wednesday, 28 November",21:00 (IST),Match 86 - Completed ,Bengaluru Bulls,34,Telugu Titans,26,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat Telugu Titans (34-26)
Season 6,"Thursday, 29 November",20:00 (IST),Match 87 - Completed ,Puneri Paltan,20,Gujarat Fortunegiants,35,"Shree Shiv Chhatrapati Sports Complex, Pune",Gujarat Fortunegiants beat Puneri Paltan (35-20)
Season 6,"Thursday, 29 November",21:00 (IST),Match 88 - Completed ,Bengaluru Bulls,37,Bengal Warriors,44,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengal Warriors beat Bengaluru Bulls (44-37)
Season 6,"Friday, 30 November",20:00 (IST),Match 89 - Completed ,Dabang Delhi K.C.,48,Jaipur Pink Panthers,35,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C. beat Jaipur Pink Panthers (48-35)
Season 6,"Friday, 30 November",21:00 (IST),Match 90 - Completed ,Tamil Thalaivas,35,Patna Pirates,35,"Thyagaraj Sports Complex, Delhi",Match Tied
Season 6,"Saturday, 01 December",20:00 (IST),Match 91 - Completed ,Dabang Delhi K.C.,34,U Mumba,41,"Thyagaraj Sports Complex, Delhi",U Mumba beat Dabang Delhi K.C. (41-34)
Season 6,"Sunday, 02 December",20:00 (IST),Match 92 - Completed ,U Mumba,36,Gujarat Fortunegiants,26,"Thyagaraj Sports Complex, Delhi",U Mumba beat Gujarat Fortunegiants (36-26)
Season 6,"Sunday, 02 December",21:00 (IST),Match 93 - Completed ,Dabang Delhi K.C.,35,Puneri Paltan,24,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C. beat Puneri Paltan (35-24)
Season 6,"Tuesday, 04 December",20:00 (IST),Match 94 - Completed ,Patna Pirates,27,Gujarat Fortunegiants,45,"Thyagaraj Sports Complex, Delhi",Gujarat Fortunegiants beat Patna Pirates (45-27)
Season 6,"Tuesday, 04 December",21:00 (IST),Match 95 - Completed ,Dabang Delhi K.C.,34,Telugu Titans,29,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C. beat Telugu Titans (34-29)
Season 6,"Wednesday, 05 December",20:00 (IST),Match 96 - Completed ,Haryana Steelers,35,Bengal Warriors,33,"Thyagaraj Sports Complex, Delhi",Haryana Steelers beat Bengal Warriors (35-33)
Season 6,"Wednesday, 05 December",21:00 (IST),Match 97 - Completed ,Dabang Delhi K.C.,32,Bengaluru Bulls,31,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C. beat Bengaluru Bulls (32-31)
Season 6,"Thursday, 06 December",20:00 (IST),Match 98 - Completed ,U.P. Yoddha,30,Haryana Steelers,29,"Thyagaraj Sports Complex, Delhi",U.P. Yoddha beat Haryana Steelers (30-29)
Season 6,"Thursday, 06 December",21:00 (IST),Match 99 - Completed ,Dabang Delhi K.C.,37,Tamil Thalaivas,33,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C. beat Tamil Thalaivas (37-33)
Season 6,"Friday, 07 December",20:00 (IST),Match 100 - Completed ,Telugu Titans,27,Gujarat Fortunegiants,29,"Rajiv Gandhi Indoor Stadium, Vizag",Gujarat Fortunegiants beat Telugu Titans (29-27)
Season 6,"Friday, 07 December",21:00 (IST),Match 101 - Completed ,Patna Pirates,53,Puneri Paltan,36,"Rajiv Gandhi Indoor Stadium, Vizag",Patna Pirates beat Puneri Paltan (53-36)
Season 6,"Saturday, 08 December",20:00 (IST),Match 102 - Completed ,U Mumba,31,Bengal Warriors,20,"Rajiv Gandhi Indoor Stadium, Vizag",U Mumba beat Bengal Warriors (31-20)
Season 6,"Saturday, 08 December",21:00 (IST),Match 103 - Completed ,Telugu Titans,36,Jaipur Pink Panthers,26,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat Jaipur Pink Panthers (36-26)
Season 6,"Sunday, 09 December",20:00 (IST),Match 104 - Completed ,Tamil Thalaivas,24,Jaipur Pink Panthers,37,"Rajiv Gandhi Indoor Stadium, Vizag",Jaipur Pink Panthers beat Tamil Thalaivas (37-24)
Season 6,"Sunday, 09 December",21:00 (IST),Match 105 - Completed ,Telugu Titans,35,Haryana Steelers,31,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat Haryana Steelers (35-31)
Season 6,"Tuesday, 11 December",20:00 (IST),Match 106 - Completed ,Dabang Delhi K.C.,19,U Mumba,44,"Rajiv Gandhi Indoor Stadium, Vizag",U Mumba beat Dabang Delhi K.C. (44-19)
Season 6,"Tuesday, 11 December",21:00 (IST),Match 107 - Completed ,Telugu Titans,20,U.P. Yoddha,27,"Rajiv Gandhi Indoor Stadium, Vizag",U.P. Yoddha beat Telugu Titans (27-20)
Season 6,"Wednesday, 12 December",20:00 (IST),Match 108 - Completed ,Haryana Steelers,37,Gujarat Fortunegiants,47,"Rajiv Gandhi Indoor Stadium, Vizag",Gujarat Fortunegiants beat Haryana Steelers (47-37)
Season 6,"Wednesday, 12 December",21:00 (IST),Match 109 - Completed ,Telugu Titans,24,Bengaluru Bulls,37,"Rajiv Gandhi Indoor Stadium, Vizag",Bengaluru Bulls beat Telugu Titans (37-24)
Season 6,"Thursday, 13 December",20:00 (IST),Match 110 - Completed ,Telugu Titans,41,Patna Pirates,36,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat Patna Pirates (41-36)
Season 6,"Friday, 14 December",20:00 (IST),Match 111 - Completed ,Jaipur Pink Panthers,36,Puneri Paltan,23,"Tau Devilal Sports Complex, Panchkula",Jaipur Pink Panthers beat Puneri Paltan (36-23)
Season 6,"Friday, 14 December",21:00 (IST),Match 112 - Completed ,Bengal Warriors,28,Tamil Thalaivas,21,"Tau Devilal Sports Complex, Panchkula",Bengal Warriors beat Tamil Thalaivas (28-21)
Season 6,"Saturday, 15 December",20:00 (IST),Match 113 - Completed ,U.P. Yoddha,25,Tamil Thalaivas,25,"Tau Devilal Sports Complex, Panchkula",Match Tied
Season 6,"Saturday, 15 December",21:00 (IST),Match 114 - Completed ,Jaipur Pink Panthers,35,U Mumba,35,"Tau Devilal Sports Complex, Panchkula",Match Tied
Season 6,"Sunday, 16 December",20:00 (IST),Match 115 - Completed ,Patna Pirates,31,U.P. Yoddha,47,"Tau Devilal Sports Complex, Panchkula",U.P. Yoddha beat Patna Pirates (47-31)
Season 6,"Sunday, 16 December",21:00 (IST),Match 116 - Completed ,Jaipur Pink Panthers,29,Gujarat Fortunegiants,34,"Tau Devilal Sports Complex, Panchkula",Gujarat Fortunegiants beat Jaipur Pink Panthers (34-29)
Season 6,"Tuesday, 18 December",20:00 (IST),Match 117 - Completed ,Bengaluru Bulls,44,Telugu Titans,28,"Tau Devilal Sports Complex, Panchkula",Bengaluru Bulls beat Telugu Titans (44-28)
Season 6,"Tuesday, 18 December",21:00 (IST),Match 118 - Completed ,Jaipur Pink Panthers,39,Haryana Steelers,30,"Tau Devilal Sports Complex, Panchkula",Jaipur Pink Panthers beat Haryana Steelers (39-30)
Season 6,"Wednesday, 19 December",20:00 (IST),Match 119 - Completed ,Patna Pirates,40,Bengaluru Bulls,40,"Tau Devilal Sports Complex, Panchkula",Match Tied
Season 6,"Wednesday, 19 December",21:00 (IST),Match 120 - Completed ,Jaipur Pink Panthers,31,Gujarat Fortunegiants,33,"Tau Devilal Sports Complex, Panchkula",Gujarat Fortunegiants beat Jaipur Pink Panthers (33-31)
Season 6,"Thursday, 20 December",20:00 (IST),Match 121 - Completed ,Jaipur Pink Panthers,37,Dabang Delhi K.C.,37,"Tau Devilal Sports Complex, Panchkula",Match Tied
Season 6,"Friday, 21 December",20:00 (IST),Match 122 - Completed ,Bengal Warriors,27,Tamil Thalaivas,24,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Tamil Thalaivas (27-24)
Season 6,"Friday, 21 December",21:00 (IST),Match 123 - Completed ,Puneri Paltan,35,Telugu Titans,20,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Puneri Paltan beat Telugu Titans (35-20)
Season 6,"Saturday, 22 December",20:00 (IST),Match 124 - Completed ,U Mumba,32,U.P. Yoddha,34,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",U.P. Yoddha beat U Mumba (34-32)
Season 6,"Saturday, 22 December",21:00 (IST),Match 125 - Completed ,Bengal Warriors,39,Patna Pirates,23,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Patna Pirates (39-23)
Season 6,"Sunday, 23 December",20:00 (IST),Match 126 - Completed ,Bengal Warriors,31,Dabang Delhi K.C.,37,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Dabang Delhi K.C. beat Bengal Warriors (37-31)
Season 6,"Tuesday, 25 December",20:00 (IST),Match 127 - Completed ,Haryana Steelers,40,Tamil Thalaivas,40,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Match Tied
Season 6,"Tuesday, 25 December",21:00 (IST),Match 128 - Completed ,Bengal Warriors,39,Telugu Titans,34,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Telugu Titans (39-34)
Season 6,"Wednesday, 26 December",20:00 (IST),Match 129 - Completed ,Gujarat Fortunegiants,37,Patna Pirates,29,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Gujarat Fortunegiants beat Patna Pirates (37-29)
Season 6,"Wednesday, 26 December",21:00 (IST),Match 130 - Completed ,Bengal Warriors,37,Bengaluru Bulls,31,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Bengaluru Bulls (37-31)
